risk,K,n,seed,gamma,alpha,epsilon,epsilon_scr,kappa,tau,max_candidates,n_screen_starts,n_support_starts,screen_maxiter,support_maxiter,stochastic_max_iter,stochastic_minibatch_size,methods,mcp_success,mcp_time_s,mcp_eta,mcp_regret1,mcp_regret2,mcp_has_profile,mcp_error,mcp_solver,mcp_candidate_index,mcp_support_eta,mcp_screen_eta,mcp_support_violation,mcp_residual_norm,mcp_objective,mcp_iterations,mcp_best_certificate_eta,screened_dual_success,screened_dual_time_s,screened_dual_eta,screened_dual_regret1,screened_dual_regret2,screened_dual_has_profile,screened_dual_error,screened_dual_solver,screened_dual_candidate_index,screened_dual_support_eta,screened_dual_screen_eta,screened_dual_support_violation,screened_dual_residual_norm,screened_dual_objective,screened_dual_iterations,screened_dual_best_certificate_eta,action_dual_success,action_dual_time_s,action_dual_eta,action_dual_regret1,action_dual_regret2,action_dual_has_profile,action_dual_error,action_dual_solver,action_dual_candidate_index,action_dual_support_eta,action_dual_screen_eta,action_dual_support_violation,action_dual_residual_norm,action_dual_objective,action_dual_iterations,action_dual_best_certificate_eta,restricted_mcp_success,restricted_mcp_time_s,restricted_mcp_eta,restricted_mcp_regret1,restricted_mcp_regret2,restricted_mcp_has_profile,restricted_mcp_error,restricted_mcp_solver,restricted_mcp_candidate_index,restricted_mcp_support_eta,restricted_mcp_screen_eta,restricted_mcp_support_violation,restricted_mcp_residual_norm,restricted_mcp_objective,restricted_mcp_iterations,restricted_mcp_best_certificate_eta,stochastic_full_batch_success,stochastic_full_batch_time_s,stochastic_full_batch_eta,stochastic_full_batch_regret1,stochastic_full_batch_regret2,stochastic_full_batch_has_profile,stochastic_full_batch_error,stochastic_full_batch_solver,stochastic_full_batch_candidate_index,stochastic_full_batch_support_eta,stochastic_full_batch_screen_eta,stochastic_full_batch_support_violation,stochastic_full_batch_residual_norm,stochastic_full_batch_objective,stochastic_full_batch_iterations,stochastic_full_batch_best_certificate_eta,stochastic_minibatch_success,stochastic_minibatch_time_s,stochastic_minibatch_eta,stochastic_minibatch_regret1,stochastic_minibatch_regret2,stochastic_minibatch_has_profile,stochastic_minibatch_error,stochastic_minibatch_solver,stochastic_minibatch_candidate_index,stochastic_minibatch_support_eta,stochastic_minibatch_screen_eta,stochastic_minibatch_support_violation,stochastic_minibatch_residual_norm,stochastic_minibatch_objective,stochastic_minibatch_iterations,stochastic_minibatch_best_certificate_eta,eta_diff_screened_dual_minus_mcp,time_ratio_screened_dual_over_mcp,x_l1_screened_dual_minus_mcp,y_l1_screened_dual_minus_mcp,eta_diff_action_dual_minus_mcp,time_ratio_action_dual_over_mcp,x_l1_action_dual_minus_mcp,y_l1_action_dual_minus_mcp,eta_diff_restricted_mcp_minus_mcp,time_ratio_restricted_mcp_over_mcp,x_l1_restricted_mcp_minus_mcp,y_l1_restricted_mcp_minus_mcp,eta_diff_stochastic_full_batch_minus_mcp,time_ratio_stochastic_full_batch_over_mcp,x_l1_stochastic_full_batch_minus_mcp,y_l1_stochastic_full_batch_minus_mcp,eta_diff_stochastic_minibatch_minus_mcp,time_ratio_stochastic_minibatch_over_mcp,x_l1_stochastic_minibatch_minus_mcp,y_l1_stochastic_minibatch_minus_mcp,eta_diff_action_dual_minus_screened_dual,time_ratio_action_dual_over_screened_dual,eta_diff_restricted_mcp_minus_action_dual,time_ratio_restricted_mcp_over_action_dual,eta_diff_stochastic_minibatch_minus_full_batch,time_ratio_stochastic_minibatch_over_full_batch
msd,500,10,5001123,0.5,nan,0.01,0.006666666666666667,4,23,1000,3,20,1000,1000,1000,23,"mcp,screened_dual,action_dual,restricted_mcp,stochastic_full_batch,stochastic_minibatch",False,303.805124599,nan,nan,nan,False,"No available solver found or acceptable solution produced. Tried: pathampl. pathampl: status=warning, termination=maxIterations. Install PATH/PATHAMPL or IPOPT and make it visible to Pyomo.",,,nan,nan,nan,nan,nan,,nan,True,2717.454258356,0.007833010789875638,0.007833010789875638,0.00783301078957227,True,,,1,0.007833010789875638,-0.052561613106961814,3.843592111252292e-13,nan,nan,,nan,True,5157.383473325,0.0039043113123894413,0.0039043113118313877,0.0039043113123894413,True,,,1,0.0039043113123894413,nan,2.417621658423741e-12,nan,nan,,nan,False,46.98279668400028,nan,nan,nan,False,Cannot load a SolverResults object with bad status: error,,,nan,nan,nan,nan,nan,,nan,True,3.161640094998802,0.0009950163991834793,0.0007377314739961394,0.0009950163991834793,True,,,,nan,nan,nan,0.013737190836587164,9.435520604040718e-05,0,0.0009950163991834793,True,0.11815193899929,0.0009950163991834793,0.0007377314739961394,0.0009950163991834793,True,,,,nan,nan,nan,0.013737190836587164,9.435520604040718e-05,0,0.0009950163991834793,nan,8.944728177126162,nan,nan,nan,16.975959441541214,nan,nan,nan,0.15464780834758482,nan,nan,nan,0.010406803042483006,nan,nan,nan,0.00038890699804765207,nan,nan,-0.003928699477486197,1.8978731500139778,nan,0.009109812548747738,0.0,0.037370458195474895
msd,500,10,5001124,0.5,nan,0.01,0.006666666666666667,4,23,1000,3,20,1000,1000,1000,23,"mcp,screened_dual,action_dual,restricted_mcp,stochastic_full_batch,stochastic_minibatch",False,48.44623812300051,nan,nan,nan,False,Cannot load a SolverResults object with bad status: error,,,nan,nan,nan,nan,nan,,nan,True,2859.0568196369986,0.0064590923506867015,0.0064590923506840925,0.0064590923506867015,True,,,1,0.0064590923506867015,-0.039123935821062356,7.105427357601002e-15,nan,nan,,nan,True,1535.3819421670014,0.00360461148705854,0.00360461148705854,0.0036046114870573742,True,,,1,0.00360461148705854,nan,4.551914400963142e-15,nan,nan,,nan,True,22.97350117300084,0.004661789990778709,0.00392902966242159,0.004661789990778709,True,,pathampl,1,0.004661789990778709,nan,nan,nan,nan,,nan,True,0.10594494999895687,0.002266048828107936,0.002266048828107936,0.0010843911593371724,True,,,,nan,nan,nan,0.017071901735930442,0.00014572491444063242,0,0.002266048828107936,True,0.10256834699976025,0.002266048828107936,0.002266048828107936,0.0010843911593371724,True,,,,nan,nan,nan,0.017071901735930442,0.00014572491444063242,0,0.002266048828107936,nan,59.01504286830524,nan,nan,nan,31.69249051430596,nan,nan,nan,0.47420609036089134,nan,nan,nan,0.002186856071878532,nan,nan,nan,0.002117158131852234,nan,nan,-0.0028544808636281616,0.5370239344742864,0.0010571785037201686,0.014962727215989392,0.0,0.968128702696732
msd,500,10,5001125,0.5,nan,0.01,0.006666666666666667,4,23,1000,3,20,1000,1000,1000,23,"mcp,screened_dual,action_dual,restricted_mcp,stochastic_full_batch,stochastic_minibatch",False,77.70695715399961,nan,nan,nan,False,Cannot load a SolverResults object with bad status: error,,,nan,nan,nan,nan,nan,,nan,True,2022.7215414639995,0.007944231512909183,0.007944231512908628,0.007944231512909183,True,,,1,0.007944231512909183,-0.06527628412292384,4.5130565951012613e-14,nan,nan,,nan,True,1698.537327183003,0.006654010914974751,0.006654010914973418,0.006654010914974751,True,,,1,0.006654010914974751,nan,4.2521541843143495e-14,nan,nan,,nan,True,8.567457542001648,0.007488687856577303,0.007488687856577303,0.006443086402166953,True,,pathampl,1,0.007488687856577303,nan,nan,nan,nan,,nan,True,0.12308485000176006,0.0015862436794381596,0.0015862436794381596,0.001306284362973198,True,,,,nan,nan,nan,0.017258009498353478,0.00014891944592262943,0,0.0015862436794381596,True,0.12588951499856194,0.0015862436794381596,0.0015862436794381596,0.001306284362973198,True,,,,nan,nan,nan,0.017258009498353478,0.00014891944592262943,0,0.0015862436794381596,nan,26.030121568849633,nan,nan,nan,21.8582401034806,nan,nan,nan,0.11025341688547481,nan,nan,nan,0.0015839617778087818,nan,nan,nan,0.0016200546207088531,nan,nan,-0.0012902205979344328,0.8397286983722142,0.0008346769416025523,0.005044020761210258,0.0,1.0227864355098273
msd,500,10,5001126,0.5,nan,0.01,0.006666666666666667,4,23,1000,3,20,1000,1000,1000,23,"mcp,screened_dual,action_dual,restricted_mcp,stochastic_full_batch,stochastic_minibatch",False,305.1078120910024,nan,nan,nan,False,"No available solver found or acceptable solution produced. Tried: pathampl. pathampl: status=warning, termination=maxIterations. Install PATH/PATHAMPL or IPOPT and make it visible to Pyomo.",,,nan,nan,nan,nan,nan,,nan,True,9388.011584936,0.008353549070176824,0.008353549070176824,0.008353516464373323,True,,,1,0.008353549070176824,-0.0457700544144207,4.9226178688854816e-12,nan,nan,,nan,True,2815.601032538001,0.008482890148717892,0.008482890148717892,0.008482890148715061,True,,,1,0.008482890148717892,nan,2.942091015256665e-14,nan,nan,,nan,False,39.41586018399903,nan,nan,nan,False,Cannot load a SolverResults object with bad status: error,,,nan,nan,nan,nan,nan,,nan,True,0.11192416399717331,0.0010464326739967333,0.0009674435438582485,0.0010464326739967333,True,,,,nan,nan,nan,0.01416083788807644,0.0001002646648461906,0,0.0010464326739967333,True,0.11212036600045394,0.0010464326739967333,0.0009674435438582485,0.0010464326739967333,True,,,,nan,nan,nan,0.01416083788807644,0.0001002646648461906,0,0.0010464326739967333,nan,30.769489383431136,nan,nan,nan,9.228216784230392,nan,nan,nan,0.1291866632777096,nan,nan,nan,0.00036683480252478905,nan,nan,nan,0.0003674778604718668,nan,nan,0.00012934107854106758,0.2999145247174506,nan,0.013999092814818766,0.0,1.0017529905631959
msd,500,10,5001127,0.5,nan,0.01,0.006666666666666667,4,23,1000,3,20,1000,1000,1000,23,"mcp,screened_dual,action_dual,restricted_mcp,stochastic_full_batch,stochastic_minibatch",False,304.6791542079991,nan,nan,nan,False,"No available solver found or acceptable solution produced. Tried: pathampl. pathampl: status=warning, termination=maxIterations. Install PATH/PATHAMPL or IPOPT and make it visible to Pyomo.",,,nan,nan,nan,nan,nan,,nan,True,2608.3037217810015,0.006817743688924072,0.0068177436889083065,0.006817743688924072,True,,,1,0.006817743688924072,-0.0542266679976955,1.3456943892542483e-13,nan,nan,,nan,True,1743.4453958990052,0.007743764388384589,0.005622530844311746,0.007743764388384589,True,,,1,0.007743764388384589,nan,8.670841822322473e-14,nan,nan,,nan,True,4.124820621000254,0.009988097844400745,0.0022586539195211808,0.009988097844400745,True,,pathampl,1,0.009988097844400745,nan,nan,nan,nan,,nan,True,0.14691434600536013,0.00245989893143439,0.00245989893143439,0.0008780653677237238,True,,,,nan,nan,nan,0.018000127372953624,0.00016200229272127716,0,0.00245989893143439,True,0.12111807500332361,0.00245989893143439,0.00245989893143439,0.0008780653677237238,True,,,,nan,nan,nan,0.018000127372953624,0.00016200229272127716,0,0.00245989893143439,nan,8.56082106621695,nan,nan,nan,5.7222339363223576,nan,nan,nan,0.013538243637713105,nan,nan,nan,0.0004821936255772336,nan,nan,nan,0.00039752662212209775,nan,nan,0.0009260206994605169,0.66842115867877,0.0022443334560161565,0.002365901811839249,0.0,0.8244128520907322
msd,500,10,5001128,0.5,nan,0.01,0.006666666666666667,4,23,1000,3,20,1000,1000,1000,23,"mcp,screened_dual,action_dual,restricted_mcp,stochastic_full_batch,stochastic_minibatch",False,59.53621512499376,nan,nan,nan,False,Cannot load a SolverResults object with bad status: error,,,nan,nan,nan,nan,nan,,nan,True,3116.4281352489998,0.007839315374704448,0.007839315294534965,0.007839315374704448,True,,,1,0.007839315374704448,-0.050407241645720004,3.700789674709881e-11,nan,nan,,nan,True,1867.9045567270005,0.006563380106982819,0.006563380106966332,0.006563380106982819,True,,,1,0.006563380106982819,nan,4.0560610425899313e-13,nan,nan,,nan,True,5.013837006998074,0.007027087505505458,0.007027087505505458,0.006786560427056998,True,,pathampl,1,0.007027087505505458,nan,nan,nan,nan,,nan,True,0.11994761200185167,0.0024306970385497007,0.0011289163190946194,0.0024306970385497007,True,,,,nan,nan,nan,0.019800030437757882,0.0001960206026680693,0,0.0024306970385497007,True,0.11348099799943157,0.0024306970385497007,0.0011289163190946194,0.0024306970385497007,True,,,,nan,nan,nan,0.019800030437757882,0.0001960206026680693,0,0.0024306970385497007,nan,52.34508321878022,nan,nan,nan,31.37425771533199,nan,nan,nan,0.08421491014287245,nan,nan,nan,0.002014699989746186,nan,nan,nan,0.001906083511711032,nan,nan,-0.0012759352677216285,0.5993735378010752,0.0004637073985226392,0.002684204066498704,0.0,0.9460880138045576
msd,500,10,5001129,0.5,nan,0.01,0.006666666666666667,4,23,1000,3,20,1000,1000,1000,23,"mcp,screened_dual,action_dual,restricted_mcp,stochastic_full_batch,stochastic_minibatch",False,78.18199114199524,nan,nan,nan,False,Cannot load a SolverResults object with bad status: error,,,nan,nan,nan,nan,nan,,nan,True,3210.4621556139973,0.007120194999661544,0.007120194999661544,0.007120194999638008,True,,,1,0.007120194999661544,-0.04342117698276972,4.5201516141180065e-13,nan,nan,,nan,True,2576.568608624999,0.006004815312259104,0.006004815312256717,0.006004815312259104,True,,,1,0.006004815312259104,nan,3.5636771311686744e-13,nan,nan,,nan,True,6.09862612800498,0.008348882591792839,0.0030017505961403845,0.008348882591792839,True,,pathampl,1,0.008348882591792839,nan,nan,nan,nan,,nan,True,0.13313126499997452,0.0013907323740569022,0.0011100402559946487,0.0013907323740569022,True,,,,nan,nan,nan,0.017319784222961196,0.00014998746276496778,0,0.0013907323740569022,True,0.13913097799377283,0.0013907323740569022,0.0011100402559946487,0.0013907323740569022,True,,,,nan,nan,nan,0.017319784222961196,0.00014998746276496778,0,0.0013907323740569022,nan,41.063959982588706,nan,nan,nan,32.95603720229379,nan,nan,nan,0.07800551046248706,nan,nan,nan,0.0017028379944708702,nan,nan,nan,0.001779578339736592,nan,nan,-0.0011153796874024402,0.8025538018317593,0.0023440672795337347,0.002366956621139442,0.0,1.045066145760723
msd,500,10,5001130,0.5,nan,0.01,0.006666666666666667,4,23,1000,3,20,1000,1000,1000,23,"mcp,screened_dual,action_dual,restricted_mcp,stochastic_full_batch,stochastic_minibatch",False,67.43112656099402,nan,nan,nan,False,Cannot load a SolverResults object with bad status: error,,,nan,nan,nan,nan,nan,,nan,True,61758.947004215996,0.0037268803510898674,0.0037268803510898674,0.0037268803453837096,True,,,2,0.0037268803510898674,-0.0290779369328272,7.216449660063518e-15,nan,nan,,nan,True,1726.3356405099912,0.004252018221284848,0.004252018221284515,0.004252018221284848,True,,,1,0.004252018221284848,nan,1.532107773982716e-14,nan,nan,,nan,True,112.88768938899739,0.005381349782312195,0.004359431709135719,0.005381349782312195,True,,pathampl,1,0.005381349782312195,nan,nan,nan,nan,,nan,True,0.11646972800372168,0.002760936052478402,0.0016035013888849314,0.002760936052478402,True,,,,nan,nan,nan,0.02064598022647606,0.00021312824975602026,0,0.002760936052478402,True,0.11378327599959448,0.002760936052478402,0.0016035013888849314,0.002760936052478402,True,,,,nan,nan,nan,0.02064598022647606,0.00021312824975602026,0,0.002760936052478402,nan,915.8818805785883,nan,nan,nan,25.601465206850058,nan,nan,nan,1.6741183952619594,nan,nan,nan,0.0017272398363146193,nan,nan,nan,0.0016873998967920725,nan,nan,0.0005251378701949805,0.027952802375211194,0.0011293315610273469,0.06539150715538045,0.0,0.9769343326358472
msd,500,10,5001131,0.5,nan,0.01,0.006666666666666667,4,23,1000,3,20,1000,1000,1000,23,"mcp,screened_dual,action_dual,restricted_mcp,stochastic_full_batch,stochastic_minibatch",False,63.119871577000595,nan,nan,nan,False,Cannot load a SolverResults object with bad status: error,,,nan,nan,nan,nan,nan,,nan,True,3215.850242889006,0.0040814472391328405,0.0040814472391328405,0.004081447239131175,True,,,1,0.0040814472391328405,-0.055566423003088845,2.7997650855690615e-14,nan,nan,,nan,True,3072.440909265002,0.0064736898695784695,0.006473689869577914,0.0064736898695784695,True,,,1,0.0064736898695784695,nan,8.458511668862911e-15,nan,nan,,nan,True,29.82466755498899,0.008304376054281193,0.008304376054281193,0.005506932330583969,True,,pathampl,1,0.008304376054281193,nan,nan,nan,nan,,nan,True,0.12107726400427055,0.0014603729401063692,0.0009955812624045102,0.0014603729401063692,True,,,,nan,nan,nan,0.015307760233981463,0.0001171637616905321,0,0.0014603729401063692,True,0.1216476229892578,0.0014603729401063692,0.0009955812624045102,0.0014603729401063692,True,,,,nan,nan,nan,0.015307760233981463,0.0001171637616905321,0,0.0014603729401063692,nan,50.94830142304641,nan,nan,nan,48.67628581146429,nan,nan,nan,0.4725083687568275,nan,nan,nan,0.0019182115073945788,nan,nan,nan,0.0019272476313716607,nan,nan,0.002392242630445629,0.9554054689141339,0.0018306861847027234,0.009707157415152283,0.0,1.0047107026218163
msd,500,10,5001132,0.5,nan,0.01,0.006666666666666667,4,23,1000,3,20,1000,1000,1000,23,"mcp,screened_dual,action_dual,restricted_mcp,stochastic_full_batch,stochastic_minibatch",False,96.3868926629948,nan,nan,nan,False,Cannot load a SolverResults object with bad status: error,,,nan,nan,nan,nan,nan,,nan,True,11351.578169511995,0.00895363777211755,0.008626174701991673,0.00895363777211755,True,,,1,0.00895363777211755,-0.03185817721497126,1.2934098236883074e-14,nan,nan,,nan,True,1588.1733985399915,0.0033917990146540844,0.0033917990146471455,0.0033917990146540844,True,,,1,0.0033917990146540844,nan,3.1792346533165983e-12,nan,nan,,nan,True,4.406879294998362,0.0041323236477996406,0.00312201766267034,0.0041323236477996406,True,,pathampl,1,0.0041323236477996406,nan,nan,nan,nan,,nan,True,0.10781771299662068,0.0017465270950098866,0.0017465270950098866,0.001039750111525295,True,,,,nan,nan,nan,0.018092849468487687,0.0001636756009446776,0,0.0017465270950098866,True,0.1059219029993983,0.0017465270950098866,0.0017465270950098866,0.001039750111525295,True,,,,nan,nan,nan,0.018092849468487687,0.0001636756009446776,0,0.0017465270950098866,nan,117.77097337499431,nan,nan,nan,16.477068143412914,nan,nan,nan,0.04572073207512235,nan,nan,nan,0.0011185930993085583,nan,nan,nan,0.001098924346173722,nan,nan,-0.0055618387574634665,0.13990771810086272,0.0007405246331455562,0.00277480991625323,0.0,0.9824165255918403
msd,500,10,5001133,0.5,nan,0.01,0.006666666666666667,4,23,1000,3,20,1000,1000,1000,23,"mcp,screened_dual,action_dual,restricted_mcp,stochastic_full_batch,stochastic_minibatch",False,48.69296589700389,nan,nan,nan,False,Cannot load a SolverResults object with bad status: error,,,nan,nan,nan,nan,nan,,nan,True,3062.5177342219977,0.005967358506313469,0.005967358506313358,0.005967358506313469,True,,,1,0.005967358506313469,-0.041093792072228595,3.7692071686024065e-14,nan,nan,,nan,True,1780.838498875004,0.003809735457549368,0.0038097354575475917,0.003809735457549368,True,,,1,0.003809735457549368,nan,1.3433698597964394e-14,nan,nan,,nan,True,25.314242081018165,0.005099944263628142,0.005099944263628142,0.003802907859189686,True,,pathampl,1,0.005099944263628142,nan,nan,nan,nan,,nan,True,0.10354115697555244,0.0012640426720688658,0.0012640426720688658,0.0009282123921496854,True,,,,nan,nan,nan,0.01510648834848278,0.000114102995111423,0,0.0012640426720688658,True,0.0991504589910619,0.0012640426720688658,0.0012640426720688658,0.0009282123921496854,True,,,,nan,nan,nan,0.01510648834848278,0.000114102995111423,0,0.0012640426720688658,nan,62.894458733523905,nan,nan,nan,36.5728081267808,nan,nan,nan,0.5198747214241014,nan,nan,nan,0.0021264089189917965,nan,nan,nan,0.0020362378254137666,nan,nan,-0.0021576230487641013,0.5814949180457263,0.0012902088060787742,0.014214788200619957,0.0,0.9575946598169919
msd,500,10,5001134,0.5,nan,0.01,0.006666666666666667,4,23,1000,3,20,1000,1000,1000,23,"mcp,screened_dual,action_dual,restricted_mcp,stochastic_full_batch,stochastic_minibatch",False,54.51015528899734,nan,nan,nan,False,Cannot load a SolverResults object with bad status: error,,,nan,nan,nan,nan,nan,,nan,True,4489.603554406989,0.005413838300473761,0.005413838300473761,0.004105119440569516,True,,,1,0.005413838300473761,-0.08025317737518364,4.706443568203156e-13,nan,nan,,nan,True,2543.8643142129877,0.0077747099075577975,0.0077747099075577975,0.0077747099075380355,True,,,1,0.0077747099075577975,nan,5.312417172831374e-13,nan,nan,,nan,True,77.53188855701592,0.008200183675457717,0.008200183675457717,0.007481153763425785,True,,pathampl,5,0.008200183675457717,nan,nan,nan,nan,,nan,True,0.1278970169951208,0.0026720235643764023,0.0022217321616171404,0.0026720235643764023,True,,,,nan,nan,nan,0.021716217831247837,0.00023579705844710327,0,0.0026720235643764023,True,0.12784133999957703,0.0026720235643764023,0.0022217321616171404,0.0026720235643764023,True,,,,nan,nan,nan,0.021716217831247837,0.00023579705844710327,0,0.0026720235643764023,nan,82.36269976859153,nan,nan,nan,46.66771357972001,nan,nan,nan,1.422338427508854,nan,nan,nan,0.0023462970581728704,nan,nan,nan,0.0023452756522486244,nan,nan,0.0023608716070840363,0.566612237224361,0.00042547376789991986,0.03047799685063096,0.0,0.9995646732281028
