K,n,seed,gamma,eps,kappa,tau,small_time_s,small_success,small_eta,mcp_time_s,mcp_success,mcp_eta
5,5,50623,0.5,0.01,3,5,13.526267334120348,True,0.0033410127540486334,0.049105459125712514,True,4.884537219140839e-12
5,5,50624,0.5,0.01,3,5,400.36015512491576,False,0.031654258311644035,0.0654508750885725,True,3.3306690738754696e-16
5,5,50625,0.5,0.01,3,5,287.64773291698657,False,0.015930233897819057,0.0857452501077205,True,1.1102230246251565e-15
5,5,50626,0.5,0.01,3,5,0.40881008305586874,True,5.10702591327572e-15,0.0521456659771502,True,1.3322676295501878e-15
5,5,50627,0.5,0.01,3,5,423.2960522919893,False,0.02010270567864092,0.0695966249331832,True,2.573241619785449e-11
5,5,50628,0.5,0.01,3,5,141.11139916605316,True,0.006268146963101406,0.07907787500880659,True,4.996003610813204e-16
5,5,50629,0.5,0.01,3,5,0.2785036670975387,True,3.3306690738754696e-16,0.04766791709698737,True,4.440892098500626e-16
5,5,50630,0.5,0.01,3,5,0.17441800003871322,True,0.0013476765655562328,0.05056008300743997,True,2.220446049250313e-16
5,5,50631,0.5,0.01,3,5,2.7207983338739723,True,0.003903263120601297,0.050214583054184914,True,5.551115123125783e-16
5,5,50632,0.5,0.01,3,5,119.18748700013384,True,3.3306690738754696e-16,0.05266100005246699,True,2.220446049250313e-16
5,5,50633,0.5,0.01,3,5,7.617370249936357,True,0.009430053477477662,0.06386070908047259,True,6.661338147750939e-16
5,5,50634,0.5,0.01,3,5,0.7103151669725776,True,0.005762108809386657,0.05939087481237948,True,6.661338147750939e-16
5,5,50635,0.5,0.01,3,5,16.17459329101257,True,0.00895667515260834,0.05859095905907452,True,4.440892098500626e-16
5,5,50636,0.5,0.01,3,5,454.43413370801136,False,0.012584784138044647,0.05768858315423131,True,1.6653345369377348e-16
5,5,50637,0.5,0.01,3,5,0.3575071671511978,True,7.771561172376096e-16,0.05503333290107548,True,1.1102230246251565e-15
5,5,50638,0.5,0.01,3,5,4.513250041054562,True,1.3322676295501878e-15,0.05362374987453222,True,8.881784197001252e-16
5,5,50639,0.5,0.01,3,5,322.28356845886447,False,0.05070230263203457,0.05796766607090831,True,9.992007221626409e-16
5,5,50640,0.5,0.01,3,5,5.4941077078692615,True,4.440892098500626e-16,0.0591326248832047,True,4.440892098500626e-16
5,5,50641,0.5,0.01,3,5,407.8383906248491,False,0.011001119066705867,0.04299095808528364,True,9.992007221626409e-16
5,5,50642,0.5,0.01,3,5,3.9784500000532717,True,0.006063423442752791,0.08034791704267263,True,1.2212453270876722e-15
5,10,51123,0.5,0.01,4,5,13.939916666131467,True,0.0015618891479557417,0.28763250005431473,False,
5,10,51124,0.5,0.01,4,5,281.5133424170781,False,0.01737279035573769,0.06339862500317395,True,3.3306690738754696e-15
5,10,51125,0.5,0.01,4,5,1.3314634999260306,True,0.005829461666250868,0.10040175006724894,True,8.992806499463768e-15
5,10,51126,0.5,0.01,4,5,1.4717619998846203,True,0.0011357458306647805,0.09692987496964633,True,3.885780586188048e-15
