risk,K,n,seed,gamma,alpha,entropy_kappa,smoothing_tau,step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,continuation_stage,stage_iteration,iteration,selected_stage,residual_norm,objective,eta,regret1,regret2,theta1,theta2
msd,250,20,2502123,0.5,nan,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,0,0,False,0.02324008298299446,0.0002700507285282343,0.002403485101653058,0.002403485101653058,0.002354947685148212,nan,nan
msd,250,20,2502123,0.5,nan,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,100,100,False,0.0034657361393397083,6.005663493762653e-06,0.002293462361287635,0.002293462361287635,0.002227802414789537,nan,nan
msd,250,20,2502123,0.5,nan,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,200,200,False,0.0015083974904360764,1.1376314945769267e-06,0.0022834644889256905,0.0022834644889256905,0.0022158401541829686,nan,nan
msd,250,20,2502123,0.5,nan,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,300,300,False,0.0007988047196620311,3.1904449007716805e-07,0.0022799475450561157,0.0022799475450561157,0.0022115871763193073,nan,nan
msd,250,20,2502123,0.5,nan,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,400,400,False,0.00046823535894048286,1.0962217568106141e-07,0.0022783598399174765,0.0022783598399174765,0.002209651194743034,nan,nan
msd,250,20,2502123,0.5,nan,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,500,500,False,0.0002928561014713248,4.288234808449145e-08,0.002277534896020672,0.002277534896020672,0.0022086375143161585,nan,nan
msd,250,20,2502123,0.5,nan,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,600,600,False,0.00019179563104490036,1.8392782043955774e-08,0.002277067954622236,0.002277067954622236,0.0022080608306784266,nan,nan
msd,250,20,2502123,0.5,nan,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,700,700,False,0.00013006581269350004,8.458557815810318e-09,0.0022767873858353105,0.0022767873858353105,0.002207712956466379,nan,nan
msd,250,20,2502123,0.5,nan,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,800,800,False,9.067033596252921e-05,4.110554911778959e-09,0.002276611055256783,0.002276611055256783,0.0022074936415051316,nan,nan
msd,250,20,2502123,0.5,nan,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,900,900,False,6.464705643982465e-05,2.0896209531669366e-09,0.002276496251735538,0.002276496251735538,0.002207350491961968,nan,nan
msd,250,20,2502123,0.5,nan,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,1000,1000,False,4.696941314889641e-05,1.1030628857758615e-09,0.0022764193321157533,0.0022764193321157533,0.00220725405124117,nan,nan
msd,250,20,2502123,0.5,nan,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,1100,1100,False,3.4678304953567195e-05,6.012924172263015e-10,0.002276366550500286,0.002276366550500286,0.002207187576625358,nan,nan
msd,250,20,2502123,0.5,nan,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,1200,1200,False,2.5962103407642952e-05,3.370154066745729e-10,0.002276329591443582,0.002276329591443582,0.002207140956055842,nan,nan
msd,250,20,2502123,0.5,nan,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,1300,1300,False,1.967506626952372e-05,1.9355411635507502e-10,0.0022763032562333474,0.0022763032562333474,0.0022071076944781276,nan,nan
msd,250,20,2502123,0.5,nan,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,1400,1400,False,1.5072420906909e-05,1.1358893599751375e-10,0.002276284203010792,0.002276284203010792,0.0022070836058792898,nan,nan
msd,250,20,2502123,0.5,nan,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,1500,1500,False,1.165850378257521e-05,6.796035522416024e-11,0.0022762702316358463,0.0022762702316358463,0.0022070659282645844,nan,nan
msd,250,20,2502123,0.5,nan,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,1600,1600,False,9.096618656591932e-06,4.137423549172821e-11,0.0022762598632453113,0.0022762598632453113,0.0022070528015888935,nan,nan
msd,250,20,2502123,0.5,nan,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,1700,1700,False,7.1539034131647215e-06,2.5589167022444925e-11,0.0022762520854907042,0.0022762520854907042,0.0022070429504941202,nan,nan
msd,250,20,2502123,0.5,nan,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,1800,1800,False,5.666719701393437e-06,1.6055856087080262e-11,0.0022762461940640244,0.0022762461940640244,0.0022070354864528463,nan,nan
msd,250,20,2502123,0.5,nan,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,1900,1900,False,4.518423316591092e-06,1.020807463395702e-11,0.002276241691820835,0.002276241691820835,0.0022070297815349194,nan,nan
msd,250,20,2502123,0.5,nan,0.1,0.02,10.0,0.5,2000,16,0.001,100,100,full_batch,0,2000,2000,False,3.624794077583728e-06,6.5695660524430355e-12,0.002276238223239413,0.002276238223239413,0.002207025386232797,nan,nan
msd,250,20,2502123,0.5,nan,0.03,0.01,10.0,0.5,2000,16,0.001,100,100,full_batch,1,0,2000,False,0.01612135708102279,0.0001299490770669218,0.0022762382232393574,0.0022762382232393574,0.002207025386232575,nan,nan
msd,250,20,2502123,0.5,nan,0.03,0.01,10.0,0.5,2000,16,0.001,100,100,full_batch,1,100,2100,False,0.013454533654737795,9.051223793323598e-05,0.002228530828577324,0.002228530828577324,0.002151161157906256,nan,nan
msd,250,20,2502123,0.5,nan,0.03,0.01,10.0,0.5,2000,16,0.001,100,100,full_batch,1,200,2200,False,0.012423358392879082,7.716991687895956e-05,0.002210393172748737,0.002210393172748737,0.002131113449418409,nan,nan
msd,250,20,2502123,0.5,nan,0.03,0.01,10.0,0.5,2000,16,0.001,100,100,full_batch,1,300,2300,False,0.01168843897689691,6.830980285832144e-05,0.0021975469205235965,0.0021975469205235965,0.002117637386996274,nan,nan
