risk,K,n,seed,gamma,alpha,epsilon,epsilon_scr,kappa,tau,max_candidates,n_screen_starts,n_support_starts,screen_maxiter,support_maxiter,stochastic_max_iter,stochastic_minibatch_size,methods,mcp_success,mcp_time_s,mcp_eta,mcp_regret1,mcp_regret2,mcp_has_profile,mcp_error,mcp_solver,mcp_candidate_index,mcp_support_eta,mcp_screen_eta,mcp_support_violation,mcp_residual_norm,mcp_objective,mcp_iterations,mcp_best_certificate_eta,screened_dual_success,screened_dual_time_s,screened_dual_eta,screened_dual_regret1,screened_dual_regret2,screened_dual_has_profile,screened_dual_error,screened_dual_solver,screened_dual_candidate_index,screened_dual_support_eta,screened_dual_screen_eta,screened_dual_support_violation,screened_dual_residual_norm,screened_dual_objective,screened_dual_iterations,screened_dual_best_certificate_eta,action_dual_success,action_dual_time_s,action_dual_eta,action_dual_regret1,action_dual_regret2,action_dual_has_profile,action_dual_error,action_dual_solver,action_dual_candidate_index,action_dual_support_eta,action_dual_screen_eta,action_dual_support_violation,action_dual_residual_norm,action_dual_objective,action_dual_iterations,action_dual_best_certificate_eta,restricted_mcp_success,restricted_mcp_time_s,restricted_mcp_eta,restricted_mcp_regret1,restricted_mcp_regret2,restricted_mcp_has_profile,restricted_mcp_error,restricted_mcp_solver,restricted_mcp_candidate_index,restricted_mcp_support_eta,restricted_mcp_screen_eta,restricted_mcp_support_violation,restricted_mcp_residual_norm,restricted_mcp_objective,restricted_mcp_iterations,restricted_mcp_best_certificate_eta,stochastic_full_batch_success,stochastic_full_batch_time_s,stochastic_full_batch_eta,stochastic_full_batch_regret1,stochastic_full_batch_regret2,stochastic_full_batch_has_profile,stochastic_full_batch_error,stochastic_full_batch_solver,stochastic_full_batch_candidate_index,stochastic_full_batch_support_eta,stochastic_full_batch_screen_eta,stochastic_full_batch_support_violation,stochastic_full_batch_residual_norm,stochastic_full_batch_objective,stochastic_full_batch_iterations,stochastic_full_batch_best_certificate_eta,stochastic_minibatch_success,stochastic_minibatch_time_s,stochastic_minibatch_eta,stochastic_minibatch_regret1,stochastic_minibatch_regret2,stochastic_minibatch_has_profile,stochastic_minibatch_error,stochastic_minibatch_solver,stochastic_minibatch_candidate_index,stochastic_minibatch_support_eta,stochastic_minibatch_screen_eta,stochastic_minibatch_support_violation,stochastic_minibatch_residual_norm,stochastic_minibatch_objective,stochastic_minibatch_iterations,stochastic_minibatch_best_certificate_eta,eta_diff_screened_dual_minus_mcp,time_ratio_screened_dual_over_mcp,x_l1_screened_dual_minus_mcp,y_l1_screened_dual_minus_mcp,eta_diff_action_dual_minus_mcp,time_ratio_action_dual_over_mcp,x_l1_action_dual_minus_mcp,y_l1_action_dual_minus_mcp,eta_diff_restricted_mcp_minus_mcp,time_ratio_restricted_mcp_over_mcp,x_l1_restricted_mcp_minus_mcp,y_l1_restricted_mcp_minus_mcp,eta_diff_stochastic_full_batch_minus_mcp,time_ratio_stochastic_full_batch_over_mcp,x_l1_stochastic_full_batch_minus_mcp,y_l1_stochastic_full_batch_minus_mcp,eta_diff_stochastic_minibatch_minus_mcp,time_ratio_stochastic_minibatch_over_mcp,x_l1_stochastic_minibatch_minus_mcp,y_l1_stochastic_minibatch_minus_mcp,eta_diff_action_dual_minus_screened_dual,time_ratio_action_dual_over_screened_dual,eta_diff_restricted_mcp_minus_action_dual,time_ratio_restricted_mcp_over_action_dual,eta_diff_stochastic_minibatch_minus_full_batch,time_ratio_stochastic_minibatch_over_full_batch
msd,5,5,50623,0.5,nan,0.01,0.006666666666666666,3,5,1000,3,20,1000,1000,1000,3,"mcp,screened_dual,action_dual,restricted_mcp,stochastic_full_batch,stochastic_minibatch",True,0.18062966596335173,0.0,0.0,0.0,True,,pathampl,,nan,nan,nan,nan,nan,,nan,True,0.7674759589135647,0.003696414886521948,0.003696414859012731,0.003696414886521948,True,,,1,0.003696414886521948,-0.08868250444668997,2.3702151352722467e-11,nan,nan,,nan,True,1.7477732081897557,0.0033733314395267833,0.003373331435811089,0.0033733314395267833,True,,,3,0.0033733314395267833,nan,1.0036527164913878e-11,nan,nan,,nan,True,0.11898175021633506,0.007559229287859903,0.0,0.007559229287859903,True,,pathampl,3,0.007559229287859903,nan,nan,nan,nan,,nan,False,51.16383137507364,0.0877019476789016,0.0877019476789016,0.021925431951970165,True,,,,nan,nan,nan,0.17046729465237095,0.01452954927304913,1000,nan,False,57.77484016679227,0.08769988838071363,0.08769988838071363,0.021926292030239325,True,,,,nan,nan,nan,0.17046901370145262,0.014529842316173021,1000,nan,0.003696414886521948,4.248892089903324,0.04593888956866937,0.32650646930153354,0.0033733314395267833,9.67600310208382,2.0,2.0,0.007559229287859903,0.658705476654513,2.0,2.0,0.0877019476789016,283.25264901643766,1.1949105424905415,1.2689773439630452,0.08769988838071363,319.8524442741001,1.194873314796521,1.2690294745120034,-0.0003230834469951649,2.2773002696578213,0.00418589784833312,0.06807619527454,-2.0592981879730132e-06,1.1292125435887397
msd,5,5,50624,0.5,nan,0.01,0.006666666666666666,3,5,1000,3,20,1000,1000,1000,3,"mcp,screened_dual,action_dual,restricted_mcp,stochastic_full_batch,stochastic_minibatch",True,0.18202033266425133,1.1102230246251565e-16,1.1102230246251565e-16,0.0,True,,pathampl,,nan,nan,nan,nan,nan,,nan,True,1.8231625421904027,0.0,0.0,0.0,True,,,4,0.0,-0.12440998273352263,2.220446049250313e-16,nan,nan,,nan,True,13.591588584240526,1.1102230246251565e-16,1.1102230246251565e-16,0.0,True,,,23,1.1102230246251565e-16,nan,1.6653345369377348e-16,nan,nan,,nan,True,1.0837285411544144,1.1102230246251565e-16,1.1102230246251565e-16,0.0,True,,pathampl,23,1.1102230246251565e-16,nan,nan,nan,nan,,nan,False,57.41599329188466,0.056756797518835,0.056756797518835,0.03992512200614695,True,,,,nan,nan,nan,0.12987647205197586,0.008433948996333833,1000,nan,False,54.70945066679269,0.05675801114742074,0.05675801114742074,0.03992415962818141,True,,,,nan,nan,nan,0.12987403519913512,0.008433632509453094,1000,nan,-1.1102230246251565e-16,10.0162576098207,1.1657341758564144e-15,7.398695314263568e-16,0.0,74.67071609692704,1.2312821986378262e-14,6.87130423097732e-17,0.0,5.953887267931897,4.440892098500626e-16,0.0,0.05675679751883489,315.437250616349,1.1966245663208523,1.1978047933139904,0.05675801114742063,300.5677984761622,1.1967625922328806,1.197747822913352,1.1102230246251565e-16,7.454951640192859,0.0,0.07973523730780079,1.213628585738924e-06,0.9528608237894141
msd,5,5,50625,0.5,nan,0.01,0.006666666666666666,3,5,1000,3,20,1000,1000,1000,3,"mcp,screened_dual,action_dual,restricted_mcp,stochastic_full_batch,stochastic_minibatch",True,0.19468375016003847,0.0,0.0,0.0,True,,pathampl,,nan,nan,nan,nan,nan,,nan,True,2.5225423336960375,0.007324027485684614,0.007324027484920559,0.007324027485684614,True,,,4,0.007324027485684614,-0.1038668941975286,1.31250565971186e-12,nan,nan,,nan,True,0.5922777499072254,0.002307274355653921,0.002307274351467825,0.002307274355653921,True,,,1,0.002307274355653921,nan,3.682301685792311e-11,nan,nan,,nan,True,0.04820245876908302,0.007775904869901151,0.007775904869901151,0.0,True,,pathampl,1,0.007775904869901151,nan,nan,nan,nan,,nan,False,51.16526108374819,0.0662098367196921,0.0662098367196921,0.04304377228129996,True,,,,nan,nan,nan,0.14398707347035353,0.010366138663278492,1000,nan,False,57.790843166876584,0.06621503611689317,0.06621503611689317,0.04304887053955364,True,,,,nan,nan,nan,0.14399097760311147,0.010366700815549874,1000,nan,0.007324027485684614,12.957128325411846,2.0,2.0,0.002307274355653921,3.042255706602875,2.0,2.0,0.007775904869901151,0.24759364214762924,2.0,2.0,0.0662098367196921,262.8121815081543,1.5924685445854754,1.6043639550394282,0.06621503611689317,296.8447192915177,1.5925555655137682,1.6043065028747197,-0.005016753130030693,0.2347939782796105,0.00546863051424723,0.08138488872261954,5.199397201061107e-06,1.1294937608601963
msd,5,5,50626,0.5,nan,0.01,0.006666666666666666,3,5,1000,3,20,1000,1000,1000,3,"mcp,screened_dual,action_dual,restricted_mcp,stochastic_full_batch,stochastic_minibatch",True,0.1921968339011073,0.0,0.0,0.0,True,,pathampl,,nan,nan,nan,nan,nan,,nan,True,9.488615334033966,2.220446049250313e-16,2.220446049250313e-16,0.0,True,,,6,2.220446049250313e-16,-0.04797155749215507,6.661338147750939e-16,nan,nan,,nan,True,2.160132750403136,0.007808171794879359,0.007808171793992846,0.007808171794879359,True,,,4,0.007808171794879359,nan,2.997269099580535e-12,nan,nan,,nan,True,0.5116490419022739,0.0,0.0,0.0,True,,pathampl,11,0.0,nan,nan,nan,nan,,nan,False,58.15835816692561,0.0737143759097677,0.0737143759097677,0.03072425309661131,True,,,,nan,nan,nan,0.15289708518029022,0.01168875932831446,1000,nan,False,54.07953679095954,0.07370616688561538,0.07370616688561538,0.030707109637653662,True,,,,nan,nan,nan,0.1528725827827087,0.011685013283328063,1000,nan,2.220446049250313e-16,49.36925932357567,9.327385743200706e-15,9.22883494433363e-16,0.007808171794879359,11.239169275361776,1.9999999999999323,2.0,0.0,2.6621096274954095,2.498001805406602e-16,0.0,0.0737143759097677,302.5978991768945,1.1885112990126472,1.5980807406233295,0.07370616688561538,281.37579424843983,1.1883025557289058,1.598208745989964,0.007808171794879137,0.22765521357527543,-0.007808171794879359,0.23685999937123636,-8.209024152328048e-06,0.9298669786334223
msd,5,5,50627,0.5,nan,0.01,0.006666666666666666,3,5,1000,3,20,1000,1000,1000,3,"mcp,screened_dual,action_dual,restricted_mcp,stochastic_full_batch,stochastic_minibatch",True,0.20277150021865964,0.0,0.0,0.0,True,,pathampl,,nan,nan,nan,nan,nan,,nan,True,3.870422374922782,0.00044007173776838826,0.0004400716996592058,0.00044007173776838826,True,,,6,0.00044007173776838826,-0.04695679059952129,5.037337214019999e-11,nan,nan,,nan,True,22.711699957959354,0.00044007173271554123,0.00044007170292759135,0.00044007173271554123,True,,,35,0.00044007173271554123,nan,3.948352755855922e-11,nan,nan,,nan,True,1.8326630000956357,0.0068202864509908645,0.0068202864509908645,1.1102230246251565e-16,True,,pathampl,35,0.0068202864509908645,nan,nan,nan,nan,,nan,False,58.58475850010291,0.08407242826760103,0.08407242826760103,0.03731482101158101,True,,,,nan,nan,nan,0.16267898625635843,0.013232226284698228,1000,nan,False,53.75864937482402,0.08410846752634521,0.08410846752634521,0.0373155531353917,True,,,,nan,nan,nan,0.16274454071842523,0.013242892766825583,1000,nan,0.00044007173776838826,19.087605362435518,0.093534229380976,1.1102230246251565e-16,0.00044007173271554123,112.00637137599752,0.09353422938097605,4.561300446507465e-16,0.0068202864509908645,9.038069936452482,0.11276654542405337,0.06465637261501084,0.08407242826760103,288.9200821462964,1.100073396456084,1.1898937971151957,0.08410846752634521,265.1193551206807,1.1001668230727606,1.1900134673799225,-5.0528470296740124e-12,5.868015879897984,0.006380214718275323,0.08069246262886524,3.603925874418046e-05,0.9176217629151716
msd,5,5,50628,0.5,nan,0.01,0.006666666666666666,3,5,1000,3,20,1000,1000,1000,3,"mcp,screened_dual,action_dual,restricted_mcp,stochastic_full_batch,stochastic_minibatch",True,0.1917741671204567,0.0,0.0,0.0,True,,pathampl,,nan,nan,nan,nan,nan,,nan,True,0.6286319578066468,0.002097812899937712,0.002097812899937712,0.0020978128996800294,True,,,1,0.002097812899937712,-0.01712547843416368,2.3773427670903402e-11,nan,nan,,nan,True,0.8239995827898383,0.007392679395625323,0.007392679388183332,0.007392679395625323,True,,,2,0.007392679395625323,nan,9.870576578308032e-12,nan,nan,,nan,False,0.6412691250443459,nan,nan,nan,False,Cannot load a SolverResults object with bad status: error,,,nan,nan,nan,nan,nan,,nan,False,51.76293437508866,0.10972521293359194,0.10972521293359194,0.02953733276075704,True,,,,nan,nan,nan,0.19480601066147066,0.01897469089491851,1000,nan,False,59.100627375300974,0.10976137485542437,0.10976137485542437,0.02954512193469172,True,,,,nan,nan,nan,0.19485957274933915,0.0189851265460275,1000,nan,0.002097812899937712,3.27798038310234,7.802353207964074e-11,0.3550130245728988,0.007392679395625323,4.296718349308589,2.0,0.7971786719636959,nan,3.343876470294112,nan,nan,0.10972521293359194,269.9160953340262,1.4275963366168414,1.030364811764722,0.10976137485542437,308.17825081820763,1.4275321670462926,1.0304245814421882,0.005294866495687611,1.31078220341334,nan,0.7782396234633798,3.616192183242273e-05,1.1417557387114368
msd,5,5,50629,0.5,nan,0.01,0.006666666666666666,3,5,1000,3,20,1000,1000,1000,3,"mcp,screened_dual,action_dual,restricted_mcp,stochastic_full_batch,stochastic_minibatch",True,0.09156404109671712,0.0,0.0,0.0,True,,pathampl,,nan,nan,nan,nan,nan,,nan,True,3.227802834007889,1.1102230246251565e-16,1.1102230246251565e-16,0.0,True,,,2,1.1102230246251565e-16,-0.04213850236656494,2.42586378861578e-15,nan,nan,,nan,True,3.0713334172032773,0.005555497368267492,0.005555497368267492,0.0055554973682456765,True,,,4,0.005555497368267492,nan,5.573319583618286e-14,nan,nan,,nan,True,1.3272737502120435,0.0,0.0,0.0,True,,pathampl,22,0.0,nan,nan,nan,nan,,nan,False,63.88740058336407,0.08338124770133704,0.0813552971153012,0.08338124770133704,True,,,,nan,nan,nan,0.1916145731782626,0.018358072327143878,1000,nan,False,62.949135542381555,0.08339700707758368,0.0813583356689741,0.08339700707758368,True,,,,nan,nan,nan,0.19163504193841674,0.01836199464936937,1000,nan,1.1102230246251565e-16,35.25186083255577,6.938893903907228e-15,0.0,0.005555497368267492,33.54300859175814,1.6477781571158485,1.1974457842888206,0.0,14.495578551519728,0.0,0.0,0.08338124770133704,697.73461085975,1.2042907549351178,1.5913718911960504,0.08339700707758368,687.487520083236,1.2042472108190112,1.5913516422162997,0.005555497368267381,0.9515244812489593,-0.005555497368267492,0.4321490277733,1.5759376246649026e-05,0.985313770283106
msd,5,5,50630,0.5,nan,0.01,0.006666666666666666,3,5,1000,3,20,1000,1000,1000,3,"mcp,screened_dual,action_dual,restricted_mcp,stochastic_full_batch,stochastic_minibatch",True,0.07112183282151818,5.551115123125783e-17,5.551115123125783e-17,0.0,True,,pathampl,,nan,nan,nan,nan,nan,,nan,True,1.4574892912060022,0.0063012997325919695,0.006301299726645282,0.0063012997325919695,True,,,2,0.0063012997325919695,-0.11058344506095025,1.1854406345435109e-11,nan,nan,,nan,True,1.5872423751279712,0.00045936358426446056,0.00045936352402936587,0.00045936358426446056,True,,,2,0.00045936358426446056,nan,3.2749691847300255e-11,nan,nan,,nan,True,0.11759066674858332,0.0024172819948610202,0.0,0.0024172819948610202,True,,pathampl,2,0.0024172819948610202,nan,nan,nan,nan,,nan,False,62.99359783297405,0.08608482665666661,0.0567899061568396,0.08608482665666661,True,,,,nan,nan,nan,0.21325580478012537,0.022739019136209473,1000,nan,False,63.21764770895243,0.08610214942201078,0.056793914093982045,0.08610214942201078,True,,,,nan,nan,nan,0.21328121810515574,0.022744438998209507,1000,nan,0.006301299732591914,20.492853367032932,0.617911109480321,0.07422086643920214,0.00045936358426440504,22.317231040870265,0.7546820400982881,0.07422086643920212,0.0024172819948609647,1.6533694659371294,0.7939872043608547,0.07422086643920212,0.08608482665666656,885.7139268480029,1.2068752398587228,1.5170379666087903,0.08610214942201072,888.8641532565466,1.206757872654519,1.517090198680892,-0.005841936148327509,1.0890250684549487,0.0019579184105965597,0.07408488368961456,1.7322765344163216e-05,1.00355670867653
msd,5,5,50631,0.5,nan,0.01,0.006666666666666666,3,5,1000,3,20,1000,1000,1000,3,"mcp,screened_dual,action_dual,restricted_mcp,stochastic_full_batch,stochastic_minibatch",True,0.06744529074057937,1.3452927660750902e-10,1.2452205933044524e-10,1.3452927660750902e-10,True,,pathampl,,nan,nan,nan,nan,nan,,nan,True,1.182277583051473,0.008809348671594885,0.008809348671594885,0.008809348659639782,True,,,1,0.008809348671594885,-0.08912264996549044,1.4307444118344392e-11,nan,nan,,nan,True,2.2025982080958784,0.005180472316242857,0.005180472316242857,0.005180472316237694,True,,,3,0.005180472316242857,nan,6.7390537594747e-14,nan,nan,,nan,True,3.1304225409403443,2.2981949676648128e-10,2.2981949676648128e-10,1.9054058331136048e-10,True,,pathampl,53,2.2981949676648128e-10,nan,nan,nan,nan,,nan,False,65.92213704204187,0.08542937816912927,0.0373863987540633,0.08542937816912927,True,,,,nan,nan,nan,0.14648674476967058,0.010729183196607305,1000,nan,False,64.89041075017303,0.08543435573033303,0.037397918367797545,0.08543435573033303,True,,,,nan,nan,nan,0.1464973753311219,0.010730740489453801,1000,nan,0.008809348537065609,17.529431188887138,2.0,1.321947158858126,0.00518047218171358,32.65755375817003,1.8923961091479249,1.1954670173128183,9.529022015897226e-11,46.41424933552675,1.0118569433725799e-07,3.9702334031499475e-08,0.08542937803459999,977.4164558887271,1.0927583522906779,1.1903276893704464,0.08543435559580376,962.1192234127452,1.0928643010977361,1.1903586897693974,-0.0036288763553520287,1.8630127473202573,-0.00518047208642336,1.421240846121708,4.9775612037672445e-06,0.9843493196949782
msd,5,5,50632,0.5,nan,0.01,0.006666666666666666,3,5,1000,3,20,1000,1000,1000,3,"mcp,screened_dual,action_dual,restricted_mcp,stochastic_full_batch,stochastic_minibatch",True,0.07212549960240722,9.370593301305519e-09,3.280828941853997e-09,9.370593301305519e-09,True,,pathampl,,nan,nan,nan,nan,nan,,nan,True,0.9005010421387851,0.0023154015001579653,0.0023154014958487457,0.0023154015001579653,True,,,1,0.0023154015001579653,-0.07878629587462692,1.1139200672971583e-11,nan,nan,,nan,True,1.3141327919438481,0.003825604314528608,0.003825604314528608,0.0038256042878146435,True,,,2,0.003825604314528608,nan,1.3025858169868343e-11,nan,nan,,nan,True,0.13040775014087558,0.00842741272784836,0.00842741272784836,0.005980260740888088,True,,pathampl,2,0.00842741272784836,nan,nan,nan,nan,,nan,False,64.54638749966398,0.041440949873987165,0.03527499795284306,0.041440949873987165,True,,,,nan,nan,nan,0.13445642688404172,0.009039265365211829,1000,nan,False,63.71218425035477,0.04144689455945483,0.03526885650868539,0.04144689455945483,True,,,,nan,nan,nan,0.13446357207652454,0.009040226107789356,1000,nan,0.002315392129564664,12.48519659624972,0.3362810578729882,1.5109227991505811,0.0038255949439353065,18.220085811370772,1.0113882545338932,0.48907720084941886,0.008427403357255059,1.808067200362563,0.787371231996634,0.48907720084941886,0.041440940503393864,894.917717804061,1.2269880896076248,1.1970014923839558,0.041446885188861526,883.3517216735972,1.226938609918329,1.1970087608900108,0.0015102028143706425,1.4593351150628808,0.004601808413319752,0.09923483451621212,5.9446854676625804e-06,0.987075911114103
msd,5,5,50633,0.5,nan,0.01,0.006666666666666666,3,5,1000,3,20,1000,1000,1000,3,"mcp,screened_dual,action_dual,restricted_mcp,stochastic_full_batch,stochastic_minibatch",True,0.06420537503436208,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,True,,pathampl,,nan,nan,nan,nan,nan,,nan,True,3.6599814579822123,1.1102230246251565e-16,0.0,1.1102230246251565e-16,True,,,3,1.1102230246251565e-16,-0.07144044930296564,2.220446049250313e-16,nan,nan,,nan,True,7.70716204168275,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,True,,,12,1.1102230246251565e-16,nan,2.220446049250313e-16,nan,nan,,nan,True,0.748242249712348,2.220446049250313e-16,5.551115123125783e-17,2.220446049250313e-16,True,,pathampl,12,2.220446049250313e-16,nan,nan,nan,nan,,nan,False,69.49814054183662,0.04224890937907355,0.04224890937907355,0.03208376728952578,True,,,,nan,nan,nan,0.125357728983681,0.007857280107973008,1000,nan,False,63.84426041599363,0.042234806960739224,0.042234806960739224,0.032084583338767736,True,,,,nan,nan,nan,0.12533464582076306,0.00785438672150806,1000,nan,0.0,57.004284392442635,2.0,1.9999999999999998,0.0,120.03920291031636,1.1102230246251565e-15,1.4988010832439613e-15,1.1102230246251565e-16,11.653888000995185,7.216449660063518e-16,6.106226635438361e-16,0.04224890937907344,1082.4349286121592,1.1969094835352583,1.2015293612116706,0.04223480696073911,994.3756325981246,1.1967529093726401,1.2015944370044893,0.0,2.105792646810783,1.1102230246251565e-16,0.09708401687490405,-1.410241833432746e-05,0.9186470302404788
msd,5,5,50634,0.5,nan,0.01,0.006666666666666666,3,5,1000,3,20,1000,1000,1000,3,"mcp,screened_dual,action_dual,restricted_mcp,stochastic_full_batch,stochastic_minibatch",True,0.06830275012180209,0.0,0.0,0.0,True,,pathampl,,nan,nan,nan,nan,nan,,nan,True,1.2373599167913198,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,True,,,1,1.1102230246251565e-16,-0.0575164437384181,5.828670879282072e-16,nan,nan,,nan,True,2.98572462471202,1.1102230246251565e-16,1.1102230246251565e-16,0.0,True,,,3,1.1102230246251565e-16,nan,2.220446049250313e-16,nan,nan,,nan,True,0.28123858384788036,0.0,0.0,0.0,True,,pathampl,3,0.0,nan,nan,nan,nan,,nan,False,67.0564512917772,0.07055071795090556,0.07055071795090556,0.023809177617728328,True,,,,nan,nan,nan,0.14047450593350527,0.009866543408631204,1000,nan,False,61.72415804071352,0.07053609956326573,0.07053609956326573,0.023809746573114687,True,,,,nan,nan,nan,0.14045422388242787,0.009863694503207586,1000,nan,1.1102230246251565e-16,18.115813998481407,4.0652184496565567e-16,1.658962959816524e-14,1.1102230246251565e-16,43.713095291004734,1.4933298669299814e-17,1.7193570659614946e-15,0.0,4.1175294310457,0.0,0.0,0.07055071795090556,981.753314064186,1.597814786747381,1.1945891310210313,0.07053609956326573,903.6848140176321,1.5978663796953838,1.1945660450610007,0.0,2.412979913277376,-1.1102230246251565e-16,0.09419441482317092,-1.4618387639830921e-05,0.9204805332172783
msd,5,5,50635,0.5,nan,0.01,0.006666666666666666,3,5,1000,3,20,1000,1000,1000,3,"mcp,screened_dual,action_dual,restricted_mcp,stochastic_full_batch,stochastic_minibatch",True,0.09995104186236858,0.0,0.0,0.0,True,,pathampl,,nan,nan,nan,nan,nan,,nan,True,2.3307044999673963,0.008962969215537853,0.008962969215537853,0.0089629692142571,True,,,2,0.008962969215537853,-0.06398005025430215,2.2384455400370484e-12,nan,nan,,nan,True,1.468164459336549,0.001039295787924388,0.001039295787924388,0.0010392957510824141,True,,,2,0.001039295787924388,nan,2.4537594178752897e-11,nan,nan,,nan,True,0.1419657077640295,0.006041724486904321,0.006041724486904321,0.0,True,,pathampl,2,0.006041724486904321,nan,nan,nan,nan,,nan,False,67.83227895898744,0.07514802610919813,0.06899316328142258,0.07514802610919813,True,,,,nan,nan,nan,0.18111903784302746,0.016402052934592008,1000,nan,False,66.79491916624829,0.07513802096690925,0.06899466745867322,0.07513802096690925,True,,,,nan,nan,nan,0.18111492683894553,0.016401308361938295,1000,nan,0.008962969215537853,23.318461284042932,0.8253180463705254,0.20059870864054638,0.001039295787924388,14.688835973898044,0.22199821977172657,8.83546736876714e-10,0.006041724486904321,1.4203524557504326,0.2682042639623605,0.08494764474036959,0.07514802610919813,678.6550464615636,0.9792458311342249,1.2244276760304287,0.07513802096690925,668.2763673261567,0.9791122914641495,1.224433725900263,-0.007923673427613465,0.6299230380157961,0.005002428698979933,0.0966960525854049,-1.0005142288882496e-05,0.9847069889341864
msd,5,5,50636,0.5,nan,0.01,0.006666666666666666,3,5,1000,3,20,1000,1000,1000,3,"mcp,screened_dual,action_dual,restricted_mcp,stochastic_full_batch,stochastic_minibatch",True,0.07694516610354185,1.1102230246251565e-16,0.0,1.1102230246251565e-16,True,,pathampl,,nan,nan,nan,nan,nan,,nan,True,3.054797457996756,0.009269057900075706,0.009269057900075706,0.009269057879496945,True,,,3,0.009269057900075706,-0.1440363375773997,2.3017143746528745e-11,nan,nan,,nan,True,18.73260391689837,0.0013246551616947766,0.0013246551616947766,0.0013246551461232325,True,,,21,0.0013246551616947766,nan,1.909261637678128e-11,nan,nan,,nan,True,1.544976250268519,0.004453600154644244,0.004453600154644244,0.0,True,,pathampl,21,0.004453600154644244,nan,nan,nan,nan,,nan,False,70.23792220791802,0.067969919141316,0.067969919141316,0.03721432870452607,True,,,,nan,nan,nan,0.10768708736581094,0.005798254392665899,1000,nan,False,70.39692420791835,0.06797515891435185,0.06797515891435185,0.037211778256254935,True,,,,nan,nan,nan,0.1076795825319912,0.0057974462471319516,1000,nan,0.009269057900075595,39.70096645039461,0.6754094968160349,1.0428782237259355,0.0013246551616946656,243.45394084523383,0.024172240380199446,0.32000678141986516,0.004453600154644133,20.078925402402923,0.02417224038003174,0.32000678141986516,0.0679699191413159,912.830860789901,1.1787213291124083,0.8808261177868103,0.06797515891435174,914.8972933944699,1.1785891649405444,0.8809488129402859,-0.007944402738380929,6.132191798137297,0.0031289449929494673,0.08247525315339752,5.239773035847772e-06,1.0022637628648758
msd,5,5,50637,0.5,nan,0.01,0.006666666666666666,3,5,1000,3,20,1000,1000,1000,3,"mcp,screened_dual,action_dual,restricted_mcp,stochastic_full_batch,stochastic_minibatch",True,0.0806002919562161,0.0,0.0,0.0,True,,pathampl,,nan,nan,nan,nan,nan,,nan,True,0.8915785411372781,7.056577544517495e-13,7.056577544517495e-13,0.0,True,,,1,7.056577544517495e-13,-0.11398059035341684,1.0775713654709307e-11,nan,nan,,nan,True,1.0500184167176485,0.0,0.0,0.0,True,,,1,0.0,nan,1.2212453270876722e-15,nan,nan,,nan,True,0.06917237490415573,0.0,0.0,0.0,True,,pathampl,1,0.0,nan,nan,nan,nan,,nan,False,70.38215129077435,0.08104672033696547,0.08104672033696547,0.07305036346633653,True,,,,nan,nan,nan,0.25366211431713787,0.03217223411992036,1000,nan,False,67.88860645890236,0.08101807699429275,0.08101807699429275,0.07302146880594468,True,,,,nan,nan,nan,0.25361048180776147,0.03215913824138245,1000,nan,7.056577544517495e-13,11.061728431723346,2.0,2.0,0.0,13.027476591375653,7.377936639731988e-15,2.720121322773134e-18,0.0,0.8582149422204541,2.220446049250313e-16,0.0,0.08104672033696547,873.2245204397959,1.208201208676586,1.5840989252649043,0.08101807699429275,842.2873517105991,1.208492185817079,1.5838631402093255,-7.056577544517495e-13,1.177707143308169,0.0,0.06587729681960072,-2.8643342672718397e-05,0.9645713467670199
msd,5,5,50638,0.5,nan,0.01,0.006666666666666666,3,5,1000,3,20,1000,1000,1000,3,"mcp,screened_dual,action_dual,restricted_mcp,stochastic_full_batch,stochastic_minibatch",True,0.07316383300349116,0.0,0.0,0.0,True,,pathampl,,nan,nan,nan,nan,nan,,nan,True,4.6018785843625665,0.009075459992271773,0.009075459992271773,0.00907545997652981,True,,,5,0.009075459992271773,-0.036424384718814984,2.6566537164596227e-11,nan,nan,,nan,True,1.195356291718781,0.0027995552114681854,0.0027995552114681854,0.002799555206779769,True,,,1,0.0027995552114681854,nan,1.4770387109549705e-11,nan,nan,,nan,True,0.3111878330819309,0.0,0.0,0.0,True,,pathampl,3,0.0,nan,nan,nan,nan,,nan,False,68.7152611669153,0.05741418091804151,0.03784088144604769,0.05741418091804151,True,,,,nan,nan,nan,0.13984279933240448,0.009778004262561573,1000,nan,False,68.49588091718033,0.05740924705814371,0.037843227702446636,0.05740924705814371,True,,,,nan,nan,nan,0.13983768528972845,0.00977728911359457,1000,nan,0.009075459992271773,62.898270845692004,2.0,1.999999999999999,0.0027995552114681854,16.338076378006907,1.3895665357536253,2.0,0.0,4.253301396430145,0.0,0.0,0.05741418091804151,939.1971189321971,1.5995799273851026,1.5976995885506868,0.05740924705814371,936.1986394823233,1.5995822662908608,1.5976891562852333,-0.006275904780803587,0.25975398303220487,-0.0027995552114681854,0.26033061041112654,-4.933859897804371e-06,0.9968074013543793
